latitude,longitude,__CLASS__,id,contract_type,salary_min,title,adref,salary_is_predicted,created,redirect_url,salary_max,contract_time,description,category.label,category.__CLASS__,category.tag,location.__CLASS__,location.display_name,location.area,company.display_name,company.__CLASS__
51.503378,-0.139134,Adzuna::API::Response::Job,5647374091,permanent,60000.0,Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NzM3NDA5MSIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.tngmMDq45nlOGfwxuKiUiMDWYxj4xGYCHEPzbaCSq3s,0,2026-02-27T16:11:56Z,https://www.adzuna.co.uk/jobs/land/ad/5647374091?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=41FE9773C3C54532D3718024944A2FEFCC5A8C66,70000.0,full_time,"Data Engineer London  2 or 3 days work from home Circ £60,000 - £70,000  Excellent Benefits Package A fantastic opportunity is available for a Data Engineer that enjoys working in a fast paced and collaborative team playing work environment. Our client has been expanding at a remarkable pace and have transformed their technical landscape with leading edge solutions. Having implemented a new MS Fabric based Data platform, the need is now to scale up and deliver data driven insights and strategie…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Young's Employment Services Ltd,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647292365,permanent,55000.0,Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3MjkyMzY1In0.APy7nncYzKZVcCQaZAvyr5r3qwez0eDs-72OJQK2aew,0,2026-02-27T14:28:01Z,https://www.adzuna.co.uk/jobs/land/ad/5647292365?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=95982B317D8FCFBA10C7B7814801B4810D5A0EF2,65000.0,full_time,"Data Engineer Farringdon, London (3 days onsite, 2 days work from home) £55,000–£65,000 Permanent, Full-Time *Visa Sponsorship is not available for this role. You must have full/existing UK right to work documentation with no time limitation, and reside in the UK (London area) to be considered. Please ensure you answer all related qualifying questions accurately* We’re looking for a Data Engineer to join a small, high-impact not-for-profit organisation within the Private Healthcare sector, wher…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",True North Group,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647306850,permanent,42500.0,Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NzMwNjg1MCIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.jUlwDYPQMbIfbPnjt4W8Ioqhblrq__iYQjMGkV0i_NI,0,2026-02-27T14:55:57Z,https://www.adzuna.co.uk/jobs/land/ad/5647306850?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=6C2B60B4E1711D5192F3485BC34C51CE84BBC53D,47500.0,full_time,"Data Engineer Location: Uxbridge Salary: £42,500 - £47,500 p.a. Permanent – Hybrid working (2 days on site) Overview We are seeking a skilled Data Engineer to design, build and optimise scalable data solutions that support organisational operations, analytics and strategic decision-making. Key skills/experience Substantial experience of data solution architecture in a large, complex organisation. Experience with Oracle DBMS. Experience with SQL Server DBMS Microsoft Azure, Microsoft Fabric and …",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"Uxbridge, London","['UK', 'London', 'Uxbridge']",Proactive Appointments,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647310084,permanent,75000.0,Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3MzEwMDg0In0.QPn_9FakAOmKj4QDPnI3BWPlgbmHQ0yY90iFpKd_4rs,0,2026-02-27T14:56:54Z,https://www.adzuna.co.uk/jobs/land/ad/5647310084?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=C88ABEF92BCA5568616B96210009B68744B4C708,100000.0,full_time,"Data Engineer Ncounter are supporting a specialist technology consultancy delivering advanced data and AI platforms into highly secure Government and Defence environments. We are seeking a DV Cleared Consultant Engineer to join a growing engineering practice working at the sharp end of national security programmes. This is a deeply technical, hands on role suited to engineers who enjoy solving complex data integration and workflow challenges within secure, mission critical settings. Core experi…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Ncounter,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647371664,permanent,52221.56,Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3MzcxNjY0In0.FEU5ScXOSZbrUG9z5oYojo1eI5q92D65T5c1FUAHF-k,1,2026-02-27T16:06:44Z,https://www.adzuna.co.uk/jobs/land/ad/5647371664?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=8E035A83A0DB796A49D20E58D8841222CE3CD9E0,52221.56,full_time,"Data Engineer (Permanent) Salary: Up to £60,000 Location: London Victoria (1 day per week onsite, rest remote) The Role We are seeking a skilled Data Engineer to join a growing team delivering modern, scalable data solutions. This is a permanent opportunity offering a hybrid model, with one day per week in London Victoria and the remainder working remotely.You will play a key role in designing, building, and optimising data pipelines and platforms, supporting advanced analytics and business int…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Lynx Recruitment Ltd,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647296899,permanent,55567.09,Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NzI5Njg5OSIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.XpYzohEJL6PKQerDHqDJbXKiQbbjgSgKgsbFUiSa-vk,1,2026-02-27T14:29:48Z,https://www.adzuna.co.uk/jobs/land/ad/5647296899?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=4EB649A95E9F2E064346974AF0AF213C8331D93E,55567.09,full_time,"We’re looking for a Data Engineer to design and deliver scalable, cloud-based data solutions within a client-facing consulting environment.This role is ideal for someone who enjoys working directly with stakeholders, solving complex data challenges, and building modern data platforms using Azure technologies. Hybrid - London Victoria Salary up to £60,000 The Role Design, build and maintain data pipelines using Azure tools Develop data models and analytics solutions Work closely with clients to …",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Lynx Recruitment Ltd,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647289680,contract,104260.0,Databricks Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3Mjg5NjgwIn0.ItkEOJtvO2OM_DIX-Xyrf63BTisiZA_tEd7SxId8VHU,0,2026-02-27T14:26:42Z,https://www.adzuna.co.uk/jobs/land/ad/5647289680?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=7D5C737074A858823CE281D639E1174377EF25D0,104260.0,,"Senior Data Engineer - Azure Databricks (Contract) ?? Fully Remote | ? 3 Months (Likely to Extend) | ?? Outside IR35 I'm supporting a client who is looking for an experienced Senior Data Engineer with strong Azure and Databricks skills to join them on an initial 3-month contract , with a high likelihood of extension. What you'll work on Building and optimising scalable data pipelines in Azure and Databricks Supporting data engineering best practices across cloud environments Collaborating with …",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Tenth Revolution Group,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647298421,permanent,80000.0,Senior Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NzI5ODQyMSIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.H9nkw950POv_gWz9PqxVXzlItSvLfqjhP4-2oUF83_A,0,2026-02-27T14:30:25Z,https://www.adzuna.co.uk/jobs/land/ad/5647298421?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=8B349F213B9FD36B4F0E586D60E4833246BD031C,95000.0,full_time,"Senior Data Engineer Salary: £95,000 Location: Remote First (London Office) Join a team where data engineering isn't just support, it's the engine. Build the models and pipelines that fuel innovation, accelerate growth, and elevate how the whole company thinks about data. The Opportunity This opportunity puts you at the centre of shaping the company's data landscape, giving you the ability to influence how teams access, understand, and trust their data. You'll take ownership of high-impact init…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Harnham - Data & Analytics Recruitment,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5648135838,contract,67769.34,Data Engineer - Databricks,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ4MTM1ODM4In0.A2TVks-yEqdI3lPCerhJWvr1FSK9owQ8sAiav-X7slQ,1,2026-02-28T02:34:20Z,https://www.adzuna.co.uk/jobs/land/ad/5648135838?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=5680DB9F2E22331E3DE0D6A90A77728F8AC37860,67769.34,,"Data Engineer (Databricks) Inside IR35 | 6-Month Contract Sector: Public Sector / Central Government Location: London or Telford (Hybrid - Remote with on-site as required) Security Clearance: Active SC Clearance due to time scales About the Role We are seeking an experienced Data Engineer with deep expertise in Databricks to support the development of scalable data platforms within a Central Government environment. This role is delivery focused and requires someone who has worked in secure, reg…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",TXP Technology x People,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647771929,contract,130000.0,Databricks Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3NzcxOTI5In0.leQVH8DUUuhhP_JYZtjp2djN1o3n2td4lUddkJYY1AM,0,2026-02-27T22:34:37Z,https://www.adzuna.co.uk/jobs/land/ad/5647771929?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=7DD98CDD1E9F5F441605C045F26E2CC4907D393B,143000.0,,"Databricks Data Engineer £500 - £550 per day Outside IR35 We're partnering with a leading online retail company that's transforming the way data and real-time intelligence shape customer experiences. Their mission is to harness cutting-edge data and streaming technologies to drive smarter decisions, improve efficiency, and create personalised journeys for millions of shoppers worldwide. The Role As a Senior Data Engineer, you'll play a key role in developing and optimising the backbone of the c…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Harnham - Data & Analytics Recruitment,Adzuna::API::Response::Company
